,Unnamed: 0,path,label,laplacian,gradient_magnitude,frequency_based,edge_based,height,widths
0,0,fin_dataset_last/blur/train/M240TP799_CH0820211206170010_11500.jpg,1,506.5675625586513,14.538882280995509,2959.8157737764686,3.847412109375,640,480
1,1,fin_dataset_last/blur/train/M240TP799_CH0820211206200027_10000.jpg,1,388.96224065038894,9.957609723818155,2324.762510745049,2.620556640625,640,480
2,2,fin_dataset_last/blur/train/M240TP799_CH0820211206173010_20500.jpg,1,486.8941460791269,16.238349000250697,3069.5611935743773,3.864013671875,640,480
3,3,fin_dataset_last/blur/train/M240TP799_CH0820211206233008_4000.jpg,1,506.6467369816992,14.576448587552568,3081.814247943658,3.9412109375,640,480
4,4,fin_dataset_last/blur/train/M240TP799_CH0820211206134530_500.jpg,1,528.085724795013,11.830295870121889,2662.112099250769,2.670361328125,640,480
5,5,fin_dataset_last/blur/train/M240TP799_CH0820211206101539_7500.jpg,1,553.9584190741222,12.909389585583018,2673.160405059225,2.88369140625,640,480
6,6,fin_dataset_last/blur/train/M240TP799_CH0820211206130010_7000.jpg,1,441.9499734936927,11.715578141986036,2547.5308454551528,2.615576171875,640,480
7,7,fin_dataset_last/blur/train/M240TP799_CH0820211206101539_3000.jpg,1,485.72156603231423,13.298632139240857,2655.9264774597023,2.708544921875,640,480
8,8,fin_dataset_last/blur/train/M240TP799_CH0820211206134530_9000.jpg,1,501.9870272064105,11.458891153142917,2526.426381306469,2.63134765625,640,480
9,9,fin_dataset_last/blur/train/M240TP799_CH0820211206154530_15500.jpg,1,389.20744941135,12.46390231384201,2661.854760576668,3.02978515625,640,480
10,10,fin_dataset_last/blur/train/M240TP799_CH0820211206154530_11000.jpg,1,379.7602836912367,12.45415025235645,2644.3378387597377,2.834716796875,640,480
11,11,fin_dataset_last/blur/train/M240TP799_CH0820211206094539_3500.jpg,1,415.9417721858979,13.369717973474035,2590.520934164072,3.028125,640,480
12,12,fin_dataset_last/blur/train/M240TP799_CH0820211206163010_6000.jpg,1,568.0318355534764,13.199832011187167,2874.151488520248,3.002392578125,640,480
13,13,fin_dataset_last/blur/train/M240TP799_CH0820211206171530_21500.jpg,1,641.798607297728,19.323593313879044,4081.701187440562,6.580859375,640,480
14,14,fin_dataset_last/blur/train/M240TP799_CH0820211206220012_8000.jpg,1,495.9909008722835,14.742934719212714,3083.700955977593,3.6423828125,640,480
15,15,fin_dataset_last/blur/train/M240TP799_CH0820211206131530_13000.jpg,1,441.7138955113624,11.989221199165828,2512.488216041379,2.5931640625,640,480
16,16,fin_dataset_last/blur/train/M240TP799_CH0820211206131530_17500.jpg,1,373.7575597993535,11.70514940848031,2511.572872698076,2.592333984375,640,480
17,17,fin_dataset_last/blur/train/M240TP799_CH0820211206161502_6000.jpg,1,509.2198919264052,13.55931528364145,2803.688982741613,3.453125,640,480
18,18,fin_dataset_last/blur/train/M240TP799_CH0820211206161502_2500.jpg,1,440.1005124021741,11.95045244554714,2757.9586488725527,3.24228515625,640,480
19,19,fin_dataset_last/blur/train/M240TP799_CH0820211206143010_22500.jpg,1,451.3658475142479,12.397641461909732,2589.113169979012,2.5798828125,640,480
20,20,fin_dataset_last/blur/train/M240TP799_CH0820211206204539_7500.jpg,1,395.9601931857638,12.68477621998146,3029.362451284064,3.75361328125,640,480
21,21,fin_dataset_last/blur/train/M240TP799_CH0820211206204539_3000.jpg,1,530.9665978484683,12.010744764711635,3027.632217562606,3.847412109375,640,480
22,22,fin_dataset_last/blur/train/M240TP799_CH0820211206144530_5000.jpg,1,497.971531409698,12.29238530680515,2599.937797573994,2.7658203125,640,480
23,23,fin_dataset_last/blur/train/M240TP799_CH0820211206144530_1500.jpg,1,496.9155717783504,12.535100954002846,2617.754671270849,2.813134765625,640,480
24,24,fin_dataset_last/blur/train/M240TP799_CH0820211206221532_0.jpg,1,578.1522178202205,13.67833913837299,3015.161096704789,4.4458984375,640,480
25,25,fin_dataset_last/blur/train/M240TP799_CH0820211206233008_8000.jpg,1,475.6317218315972,13.87371944760192,3122.663796716478,3.443994140625,640,480
26,26,fin_dataset_last/blur/train/M240TP799_CH0820211206170010_19000.jpg,1,467.6998080688052,14.98158973884282,3087.092402625457,4.562109375,640,480
27,27,fin_dataset_last/blur/train/M240TP799_CH0820211206133010_16500.jpg,1,509.3632866948341,11.150534197243042,2548.5222709198074,2.598974609375,640,480
28,28,fin_dataset_last/blur/train/M240TP799_CH0820211206133010_12000.jpg,1,464.8085536805789,11.933835050701212,2564.163728262928,2.623876953125,640,480
29,29,fin_dataset_last/blur/train/M240TP799_CH0820211206134530_5000.jpg,1,521.1256402582694,11.386331684878757,2607.644535085341,2.623046875,640,480
30,30,fin_dataset_last/blur/train/M240TP799_CH0820211206153010_9500.jpg,1,400.4292302602025,11.88963130778926,2631.763282871921,2.761669921875,640,480
31,31,fin_dataset_last/blur/train/M240TP799_CH0820211206170010_8500.jpg,1,317.0314711708918,10.401896675247222,2427.9724136161462,2.803173828125,640,480
32,32,fin_dataset_last/blur/train/M240TP799_CH0820211206091529_15000.jpg,1,414.10556297743057,15.318378415051402,2818.76305764584,4.255810546875,640,480
33,33,fin_dataset_last/blur/train/M240TP799_CH0820211206143010_10000.jpg,1,412.413133674452,12.117981094631634,2622.631002052672,2.75751953125,640,480
34,34,fin_dataset_last/blur/train/M240TP799_CH0820211206140010_21000.jpg,1,415.8335170893244,11.73852482548916,2548.895283006241,2.6064453125,640,480
35,35,fin_dataset_last/blur/train/M240TP799_CH0820211206114530_15500.jpg,1,413.2046554349157,10.896130910853834,2402.546976537697,2.617236328125,640,480
