,path,label,laplacian,laplacian_ms,gradient_magnitude,gradient_magnitude_ms,frequency_based_numpy,frequency_based_numpy_ms,frequency_based_numba,frequency_based_numba_ms,frequency_based_scipy,frequency_based_scipy_ms,edge_based,edge_based_ms,height,widths
0,fin_dataset_last/blur/train/M240TP799_CH0820211206213012_18000.jpg,1,333.55041881560214,1.705169677734375,10.505969521713697,3.263711929321289,2527.887882961821,7.116794586181641,2527.8878829618293,3979.9580574035645,7.2986426969726335,5.410909652709961,2.8056640625,0.5311965942382812,640,480
1,fin_dataset_last/blur/train/M240TP799_CH0820211206220012_6500.jpg,1,399.31185508599793,2.00653076171875,13.105377715838241,3.082752227783203,2996.4374600687893,5.761861801147461,2996.437460068726,8.92949104309082,7.456289753656318,6.399631500244141,3.649853515625,0.5033016204833984,640,480
2,fin_dataset_last/blur/train/M240TP799_CH0820211206214532_500.jpg,1,422.4483208790992,1.3647079467773438,12.104718612091173,3.317594528198242,2790.7029718594968,6.135225296020508,2790.702971859503,9.928703308105469,7.395742660617088,6.569385528564453,3.20244140625,0.518798828125,640,480
3,fin_dataset_last/blur/train/M240TP799_CH0820211206221532_1500.jpg,1,519.6882611706097,1.8453598022460938,14.394868149142997,4.649877548217773,2975.621270732408,7.045269012451172,2975.6212707324576,9.22846794128418,7.329757060808327,6.641149520874023,3.60087890625,0.5002021789550781,640,480
4,fin_dataset_last/blur/train/M240TP799_CH0820211206150010_18000.jpg,1,505.5447862611452,1.4829635620117188,14.069913960077214,3.020048141479492,2637.7477192667075,6.509542465209961,2637.747719266672,8.69894027709961,7.298797614234057,6.721735000610352,2.628857421875,0.4992485046386719,640,480
5,fin_dataset_last/blur/train/M240TP799_CH0820211206143010_0.jpg,1,646.207205480692,1.4133453369140625,14.146055541528492,2.9985904693603516,2735.506177354591,6.412506103515625,2735.506177354633,8.399009704589844,7.304132254808307,6.449222564697266,2.622216796875,0.5304813385009766,640,480
6,fin_dataset_last/blur/train/M240TP799_CH0820211206213012_16000.jpg,1,483.1940176208389,1.4531612396240234,13.683484222344795,3.040313720703125,2948.6610949990454,6.310462951660156,2948.66109499907,8.285045623779297,7.429452157224374,6.685733795166016,3.711279296875,0.5125999450683594,640,480
7,fin_dataset_last/blur/train/M240TP799_CH0820211206111524_13500.jpg,1,475.26639849292957,1.51824951171875,12.290930583145036,3.0515193939208984,2556.687283654223,5.911827087402344,2556.6872836542752,8.314847946166992,7.296151320983152,6.511449813842773,2.68115234375,0.5002021789550781,640,480
8,fin_dataset_last/blur/train/M240TP799_CH0820211206163010_14000.jpg,1,421.0916064696843,1.4889240264892578,12.247902705712708,3.0722618103027344,2733.7359929251757,5.965948104858398,2733.735992925243,8.666038513183594,7.328302110374144,6.2389373779296875,3.171728515625,0.5130767822265625,640,480
9,fin_dataset_last/blur/train/M240TP799_CH0820211206180009_13000.jpg,1,467.49067188465347,1.5881061553955078,14.797735830756567,3.5109519958496094,3100.073952055781,7.298707962036133,3100.073952055793,9.490251541137695,7.499188193013214,7.004976272583008,4.1205078125,0.4868507385253906,640,480
10,fin_dataset_last/blur/train/M240TP799_CH0820211206174529_8000.jpg,1,381.958266778522,1.3704299926757812,11.503447628777826,2.9709339141845703,2763.1061060261413,6.402730941772461,2763.106106026087,8.47625732421875,7.3912036320109005,6.360530853271484,3.395849609375,0.514984130859375,640,480
